"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Dario Saric","Sac","*","F-C","31.7","3","9.2","10.6","15.5","2","1","3","0","2","0.5","0.3","0.425","1.7","1.7","0.7","0","0","0.3","3.3","2.3","4","5.5","97.2","126.4"
"","Harrison Ingram","San","*","F","23","3","3.6","11.8","0","0","0","2","0.5","1","1","0.833","0.833","1.7","1","0","0","0","0","2.7","1.7","2.7","0","0","0"
"","Jamal Cain","Orl","*","F","26.7","5","6.3","14.5","19.6","2","0.5","3","0.667","5","0.2","0.438","0.45","1.6","0.8","0.4","0.2","0.2","0.4","2.4","2","2.8","5.1","93.6","104.9"
"","Jacob Toppin","Atl","*","F","25.6","5","3.4","15","0","0","0","6","0.667","0","0","0.667","0.667","1.6","0.4","0.2","0","0.2","0","2","1.8","2.2","5.9","0","0"
"","Amir Coffey","Mil","*","G-F","28.5","16","8.6","8.1","4.1","3","1","13","0.538","10","0.3","0.5","0.535","1.6","0.9","0.5","0","0.1","0.1","2.5","2.1","3","4.2","124.9","122.3"
"","Chris Youngblood","Okc","*","G","23.8","16","5","13.7","4.3","6","1","3","0.333","19","0.316","0.455","0.528","1.6","0.7","0.3","0.1","0","0.1","2.3","1.9","2.6","5.6","117.1","97.4"
"","Kyle Lowry","Phi","*","G","39.7","2","7.2","2.9","0","0","0","0","0","1","1","1.5","1.5","1.5","0","1.5","0.5","0","0","1.5","3","3","0","263.3","122.5"
"","Myron Gardner","Mia","*","F","24.5","4","2.4","8.6","0","0","0","0","0","2","1","1.5","1.5","1.5","0.5","0.3","0","0","0","2","1.8","2.3","10.1","0","0"
"","DaRon Holmes II","Den","*","F","23.3","2","2.2","9.7","0","0","0","0","0","1","1","1.5","1.5","1.5","0","0","0","0","0","1.5","1.5","1.5","0","0","0"
"","Mason Plumlee","Cha","*","F-C","35.7","8","8.2","7.1","48.5","7","0.571","4","1","0","0","1","0.847","1.5","2.4","1.1","0.3","0","0.5","3.9","2.6","5","7.7","137.6","117.2"
"","Nigel Hayes-Davis","Pho","*","F","31","16","8.6","11.8","15.7","2","0.5","21","0.476","11","0.091","0.359","0.365","1.5","1.3","0.4","0.4","0.1","0.4","2.8","1.9","3.1","4.3","85.1","110.1"
"","Brooks Barnhizer","Okc","*","G","23.8","15","7.5","7.9","10.4","4","0.5","15","0.533","2","0.5","0.559","0.56","1.4","2.1","0.3","0.1","0.1","0.1","3.5","1.7","3.8","5.1","125.3","98.7"
"","Drew Peterson","Cha","*","F","26.1","4","13.3","11.7","0","2","0.5","3","0.667","11","0","0.143","0.168","1.3","1.8","0.5","0.8","0.3","0","3","1.8","3.5","3.2","58.5","115.9"
"","Garrett Temple","Tor","*","G-F","39.6","3","3.3","16.8","31.1","2","0.5","0","0","2","0.5","0.75","0.694","1.3","0.3","0.3","0","0.3","0.3","1.7","1.7","2","5.9","0","0"
"","Khaman Maluach","Pho","*","C","19.2","10","4.4","15.6","37.4","8","0.875","5","0.6","3","0","0.375","0.564","1.3","0.6","0.1","0","0.4","0.5","1.9","1.4","2","3.9","87.7","99.3"
"","Caleb Martin","Dal","*","F","30.2","19","9.7","10.2","19.3","8","0.875","22","0.318","11","0.091","0.258","0.329","1.3","1.7","0.9","0.5","0.2","0.4","2.9","2.2","3.9","5.2","88.1","97.6"
"","Thanasis Antetokounmpo","Mil","*","F","33.4","7","2.5","13.2","0","3","1","4","0.75","0","0","0.75","0.846","1.3","0.3","0","0.3","0.4","0","1.6","1.3","1.6","0","0","0"
"","Adou Thiero","Lal","*","G","21.6","5","3.4","9.9","29.1","2","1","2","1","0","0","1","1.042","1.2","0.4","0","0.2","0","0.2","1.6","1.2","1.6","0","0","0"
"","Andre Jackson Jr.","Mil","*","G","24.1","9","7","13.1","22","2","0.5","6","0.333","8","0.25","0.357","0.37","1.2","0.8","1.6","0.4","0.1","0.4","2","2.8","3.6","6.6","101.7","107.3"
